group,ticker,source_date,close,return_1d,volume,timing_rule,status,error
india_sector,^NSEBANK,2026-09-24,55438.5,-0.019636075470634617,261900.0,at_or_before_D,ok,
india_sector,^CNXIT,2026-09-24,28208.849609375,-0.004418752999407083,20400.0,at_or_before_D,ok,
india_sector,^CNXAUTO,,,,,at_or_before_D,failed,fewer than two timing-safe completed bars
india_sector,^CNXPHARMA,2026-09-24,27028.69921875,-0.0045447826282425385,19754000.0,at_or_before_D,ok,
india_sector,^CNXMETAL,,,,,at_or_before_D,failed,fewer than two timing-safe completed bars
india_sector,^CNXENERGY,,,,,at_or_before_D,failed,fewer than two timing-safe completed bars
india_heavyweight,HDFCBANK.NS,2026-09-24,728.9000244140625,-0.0113258400623093,29575194.0,at_or_before_D,ok,
india_heavyweight,ICICIBANK.NS,2026-09-24,1334.5,-0.004104477611940327,8653920.0,at_or_before_D,ok,
india_heavyweight,RELIANCE.NS,2026-09-24,1219.199951171875,-0.023076962202023266,13923795.0,at_or_before_D,ok,
india_heavyweight,INFY.NS,2026-09-24,1014.5,-0.005879470847623747,6891893.0,at_or_before_D,ok,
india_heavyweight,TCS.NS,2026-09-24,2087.0,-0.0012443039503904352,1760662.0,at_or_before_D,ok,
india_heavyweight,BHARTIARTL.NS,2026-09-24,1795.800048828125,-0.020401431016754068,4567379.0,at_or_before_D,ok,
india_heavyweight,SBIN.NS,2026-09-24,978.5,-0.015692562085360295,13724672.0,at_or_before_D,ok,
india_heavyweight,ITC.NS,2026-09-24,268.0,-0.00795851913773582,7398276.0,at_or_before_D,ok,
india_heavyweight,LT.NS,2026-09-24,3858.39990234375,-0.018193847623792725,1649308.0,at_or_before_D,ok,
india_heavyweight,AXISBANK.NS,2026-09-24,1186.5,-0.04560807062325578,10890660.0,at_or_before_D,ok,
asia,^N225,2026-09-24,65513.98828125,0.007613765962819263,175000000.0,at_or_before_D,ok,
asia,^HSI,2026-09-24,24761.130859375,-0.002939032418935339,1927300000.0,at_or_before_D,ok,
prior_global,SPY,2026-09-23,767.8099975585938,-0.007202161019229769,54931700.0,strictly_before_D,ok,
prior_global,QQQ,2026-09-23,741.2100219726562,-0.008361651213807164,33191800.0,strictly_before_D,ok,
prior_global,^VIX,2026-09-23,15.180000305175781,0.06826180608197241,0.0,strictly_before_D,ok,
prior_global,DX-Y.NYB,2026-09-23,101.0999984741211,0.004970179001827946,0.0,strictly_before_D,ok,
prior_global,CL=F,2026-09-23,92.16000366210938,-0.02568974278316838,370714.0,strictly_before_D,ok,
prior_global,GC=F,2026-09-23,4318.39990234375,-0.013252902224254792,143873.0,strictly_before_D,ok,
prior_global,USDINR=X,2026-09-23,95.6897964477539,-0.00023196191233221253,0.0,strictly_before_D,ok,
